id,type,x,y,z,num_cluster
685,1,-3.4359,-3.4359,-3.4359,3
574,1,-1.71795,-5.15385,-5.15385,3
588,4,-1.71795,-1.71795,-5.15385,3
672,1,-1.71795,-5.15385,-1.71795,3
684,1,-5.15385,-1.71795,-1.71795,3
783,4,-3.4359,-3.4359,0.0,3
784,4,-1.71795,-1.71795,1.71795,2
1973,4,-3.4359,0.0,-3.4359,3
1974,4,-1.71795,1.71795,-1.71795,2
2070,4,-5.15385,1.71795,1.71795,2
2071,4,-3.4359,0.0,0.0,2
2085,4,-3.4359,3.4359,0.0,2
2086,3,-1.71795,5.15385,1.71795,2
2169,3,-3.4359,0.0,3.4359,2
2170,3,-1.71795,1.71795,5.15385,2
2183,4,-3.4359,3.4359,3.4359,2
2184,3,-1.71795,5.15385,5.15385,2
2268,3,-1.71795,1.71795,8.58975,2
2282,4,-1.71795,5.15385,8.58975,2
2379,2,-3.4359,3.4359,10.3077,2
2366,2,-1.71795,1.71795,12.0257,2
2380,1,-1.71795,5.15385,12.0257,2
3319,4,0.0,-3.4359,-6.8718,3
3403,1,0.0,-6.8718,-3.4359,3
3306,4,1.71795,-5.15385,-5.15385,3
3419,4,3.4359,-3.4359,-3.4359,3
3320,3,1.71795,-1.71795,-5.15385,3
3404,4,1.71795,-5.15385,-1.71795,3
3418,2,1.71795,-1.71795,-1.71795,3
3515,3,0.0,-3.4359,0.0,3
4705,3,0.0,0.0,-3.4359,3
4803,3,0.0,0.0,0.0,2
4804,4,1.71795,1.71795,1.71795,2
4817,1,0.0,3.4359,0.0,2
4818,1,1.71795,5.15385,1.71795,2
4901,2,0.0,0.0,3.4359,2
4902,3,1.71795,1.71795,5.15385,2
4916,2,1.71795,5.15385,5.15385,2
4917,2,3.4359,3.4359,3.4359,2
4929,1,0.0,6.8718,3.4359,2
5000,1,1.71795,1.71795,8.58975,2
5013,3,0.0,3.4359,6.8718,2
5014,1,1.71795,5.15385,8.58975,2
5097,2,0.0,0.0,10.3077,2
5113,2,3.4359,3.4359,10.3077,2
5125,1,0.0,6.8718,10.3077,2
5098,1,1.71795,1.71795,12.0257,2
5112,3,1.71795,5.15385,12.0257,2
5209,2,0.0,3.4359,13.7436,2
